Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1252,eng Liverpool,2019-04-17,3.5,@,pt Porto,Champions League,Quarter-finals Leg 2,W 6-1,W 4-1,4,1,+3,49,4,0,0,0,3.5,3.5,+2.6,+2.6,3.6,1.3,+0.5,+0.5,+0.4,0.28,13,0.31,0.80,5,38.5,14.6,1,Match Report
1253,eng Manchester Utd,2019-04-16,0.4,@,es Barcelona,Champions League,Quarter-finals Leg 2,L 0-4,L 0-3,0,3,-3,35,0,0,0,0,0.4,0.4,-1.1,-1.1,0.3,0.4,-0.4,-0.4,-0.3,0.04,9,0.00,0.00,3,33.3,25.8,1,Match Report
1254,it Juventus,2019-04-16,0.8,,nl Ajax,Champions League,Quarter-finals Leg 2,L 2-3,L 1-2,1,2,-1,51,1,0,0,0,0.8,0.8,-1.4,-1.4,0.8,0.7,+0.2,+0.2,+0.2,0.07,13,0.08,0.33,3,23.1,18.6,1,Match Report
1255,nl Ajax,2019-04-16,2.2,@,it Juventus,Champions League,Quarter-finals Leg 2,W 3-2,W 2-1,2,1,+1,49,2,0,0,0,2.2,2.2,+1.4,+1.4,1.6,1.2,-0.2,-0.2,+0.4,0.16,14,0.14,0.50,4,28.6,16.6,1,Match Report
1256,es Barcelona,2019-04-16,1.4,,eng Manchester Utd,Champions League,Quarter-finals Leg 2,W 4-0,W 3-0,3,0,+3,65,3,0,0,0,1.4,1.4,+1.1,+1.1,1.1,1.3,+1.6,+1.6,-0.1,0.11,13,0.23,0.50,6,46.2,19.7,1,Match Report
1257,eng Manchester Utd,2019-04-10,0.5,,es Barcelona,Champions League,Quarter-finals Leg 1,L 0-4,L 0-1,0,1,-1,34,0,0,0,0,0.5,0.5,-0.6,-0.6,0.1,0.4,-0.5,-0.5,-0.1,0.05,10,0.00,,0,0.0,24.0,3,Match Report
1258,it Juventus,2019-04-10,0.7,@,nl Ajax,Champions League,Quarter-finals Leg 1,L 2-3,D 1-1,1,1,0,39,1,0,0,0,0.7,0.7,-0.5,-0.5,0.7,0.7,+0.3,+0.3,+0.3,0.10,7,0.14,1.00,1,14.3,17.5,0,Match Report
1259,nl Ajax,2019-04-10,1.2,,it Juventus,Champions League,Quarter-finals Leg 1,W 3-2,D 1-1,1,1,0,61,1,0,0,0,1.2,1.2,+0.5,+0.5,1.1,1.1,-0.2,-0.2,-1.1,0.06,19,0.05,0.17,6,31.6,21.0,1,Match Report
1260,es Barcelona,2019-04-10,1.1,@,eng Manchester Utd,Champions League,Quarter-finals Leg 1,W 4-0,W 1-0,1,0,+1,66,0,0,0,0,1.1,1.1,+0.6,+0.6,0.9,1.3,-1.1,-1.1,-0.9,0.18,6,0.00,0.00,3,50.0,13.5,1,Match Report
1261,pt Porto,2019-04-09,0.8,@,eng Liverpool,Champions League,Quarter-finals Leg 1,L 1-6,L 0-2,0,2,-2,36,0,0,0,0,0.8,0.8,-1.5,-1.5,0.5,0.5,-0.8,-0.8,-0.5,0.12,8,0.00,0.00,3,37.5,13.2,0,Match Report
1262,eng Manchester City,2019-04-09,1.3,@,eng Tottenham,Champions League,Quarter-finals Leg 1,L 4-4 (away),L 0-1,0,1,-1,58,0,0,1,1,1.3,0.6,+0.5,-0.3,0.5,0.7,-1.3,-0.6,-0.5,0.07,9,0.00,0.00,1,11.1,18.6,0,Match Report
1263,eng Tottenham,2019-04-09,0.9,,eng Manchester City,Champions League,Quarter-finals Leg 1,W 4-4 (away),W 1-0,1,0,+1,42,1,0,0,0,0.9,0.9,-0.5,+0.3,0.6,0.7,+0.1,+0.1,-0.6,0.07,13,0.08,0.25,4,30.8,20.3,2,Match Report
1264,eng Liverpool,2019-04-09,2.3,,pt Porto,Champions League,Quarter-finals Leg 1,W 6-1,W 2-0,2,0,+2,64,2,0,0,0,2.3,2.3,+1.5,+1.5,1.7,1.4,-0.3,-0.3,-0.7,0.15,15,0.13,0.67,3,20.0,17.9,0,Match Report
1265,de Bayern Munich,2019-03-13,0.3,,eng Liverpool,Champions League,Rd of 16 Leg 2,L 1-3,L 1-3,1,3,-2,58,0,0,0,0,0.3,0.3,-0.8,-0.8,0.1,0.2,-0.3,-0.3,-0.1,0.05,7,0.00,0.00,2,28.6,22.2,1,Match Report
1266,fr Lyon,2019-03-13,0.6,@,es Barcelona,Champions League,Rd of 16 Leg 2,L 1-5,L 1-5,1,5,-4,45,1,0,0,0,0.6,0.6,-3.6,-2.8,0.4,0.7,+0.4,+0.4,-0.4,0.06,11,0.09,0.50,2,18.2,18.6,1,Match Report
1267,es Barcelona,2019-03-13,4.3,,fr Lyon,Champions League,Rd of 16 Leg 2,W 5-1,W 5-1,5,1,+4,55,4,1,1,0,4.3,3.5,+3.6,+2.8,3.3,3.6,+0.7,+0.5,-0.3,0.19,18,0.22,0.50,8,44.4,15.3,0,Match Report
1268,eng Liverpool,2019-03-13,1.1,@,de Bayern Munich,Champions League,Rd of 16 Leg 2,W 3-1,W 3-1,3,1,+2,42,3,0,0,0,1.1,1.1,+0.8,+0.8,1.0,1.2,+1.9,+1.9,+2.0,0.11,10,0.30,0.50,6,60.0,17.9,0,Match Report
1269,de Schalke 04,2019-03-12,0.1,@,eng Manchester City,Champions League,Rd of 16 Leg 2,L 2-10,L 0-7,0,7,-7,28,0,0,0,0,0.1,0.1,-3.7,-2.9,0.0,0.1,-0.1,-0.1,0.0,0.04,2,0.00,0.00,1,50.0,28.2,0,Match Report
1270,es Atlético Madrid,2019-03-12,0.4,@,it Juventus,Champions League,Rd of 16 Leg 2,L 2-3,L 0-3,0,3,-3,38,0,0,0,0,0.4,0.4,-2.1,-1.3,0.4,0.4,-0.4,-0.4,-0.4,0.09,5,0.00,,0,0.0,24.9,0,Match Report
1271,eng Manchester City,2019-03-12,3.7,,de Schalke 04,Champions League,Rd of 16 Leg 2,W 10-2,W 7-0,7,0,+7,72,6,1,1,0,3.7,3.0,+3.7,+2.9,3.0,2.1,+3.3,+3.0,+3.0,0.21,14,0.43,0.60,10,71.4,13.8,0,Match Report
1272,it Juventus,2019-03-12,2.5,,es Atlético Madrid,Champions League,Rd of 16 Leg 2,W 3-2,W 3-0,3,0,+3,62,2,1,1,0,2.5,1.7,+2.1,+1.3,1.3,1.7,+0.5,+0.3,+0.7,0.12,15,0.13,0.67,3,20.0,17.0,2,Match Report
1273,it Roma,2019-03-06,1.9,@,pt Porto,Champions League,Rd of 16 Leg 2,L 3-4 (aet),L 1-3,1,3,-2,41,0,1,1,0,1.9,1.2,-2.3,-2.3,0.7,0.5,-0.9,-1.2,-0.7,0.08,14,0.00,,0,0.0,17.5,1,Match Report
1274,fr Paris S-G,2019-03-06,1.4,,eng Manchester Utd,Champions League,Rd of 16 Leg 2,L 3-3 (away),L 1-3,1,3,-2,71,1,0,0,0,1.4,1.4,-0.7,+0.1,1.3,1.6,-0.4,-0.4,-0.3,0.12,12,0.08,0.25,4,33.3,13.4,0,Match Report
1275,eng Manchester Utd,2019-03-06,2.1,@,fr Paris S-G,Champions League,Rd of 16 Leg 2,W 3-3 (away),W 3-1,3,1,+2,29,2,1,1,0,2.1,1.3,+0.7,-0.1,0.1,0.1,+0.9,+0.7,+0.9,0.33,4,0.50,0.67,3,75.0,19.8,0,Match Report
1276,pt Porto,2019-03-06,4.2,,it Roma,Champions League,Rd of 16 Leg 2,W 4-3 (aet),W 3-1,3,1,+2,59,2,1,1,0,4.2,3.4,+2.3,+2.3,3.2,2.2,-1.2,-1.4,-1.2,0.12,30,0.07,0.25,8,26.7,17.1,0,Match Report
1277,es Real Madrid,2019-03-05,2.5,,nl Ajax,Champions League,Rd of 16 Leg 2,L 3-5,L 1-4,1,4,-3,57,1,0,0,0,2.5,2.5,-0.2,-0.2,2.4,1.6,-1.5,-1.5,-1.4,0.12,20,0.05,0.13,8,40.0,13.1,0,Match Report
1278,de Dortmund,2019-03-05,1.4,,eng Tottenham,Champions League,Rd of 16 Leg 2,L 0-4,L 0-1,0,1,-1,64,0,0,0,0,1.4,1.4,+0.4,+0.4,1.3,1.5,-1.4,-1.4,-1.3,0.08,19,0.00,0.00,7,36.8,17.9,0,Match Report
1279,nl Ajax,2019-03-05,2.6,@,es Real Madrid,Champions League,Rd of 16 Leg 2,W 5-3,W 4-1,4,1,+3,43,4,0,0,0,2.6,2.6,+0.2,+0.2,2.5,1.7,+1.4,+1.4,+0.5,0.16,16,0.25,0.50,8,50.0,18.5,1,Match Report
1280,eng Tottenham,2019-03-05,1.0,@,de Dortmund,Champions League,Rd of 16 Leg 2,W 4-0,W 1-0,1,0,+1,36,1,0,0,0,1.0,1.0,-0.4,-0.4,1.0,0.8,0.0,0.0,0.0,0.19,5,0.20,1.00,1,20.0,20.8,0,Match Report
1281,de Schalke 04,2019-02-20,1.8,,eng Manchester City,Champions League,Rd of 16 Leg 1,L 2-10,L 2-3,2,3,-1,34,0,2,2,0,1.8,0.2,+0.2,-1.4,0.2,0.4,+0.2,-0.2,-0.2,0.05,5,0.00,,0,0.0,27.3,0,Match Report
1282,es Atlético Madrid,2019-02-20,1.4,,it Juventus,Champions League,Rd of 16 Leg 1,L 2-3,W 2-0,2,0,+2,38,2,0,0,0,1.4,1.4,+0.7,+0.7,1.0,0.9,+0.6,+0.6,-1.0,0.11,13,0.15,0.40,5,38.5,18.2,1,Match Report
1283,eng Manchester City,2019-02-20,1.6,@,de Schalke 04,Champions League,Rd of 16 Leg 1,W 10-2,W 3-2,3,2,+1,66,3,0,0,0,1.6,1.6,-0.2,+1.4,1.3,1.4,+1.4,+1.4,+0.7,0.08,21,0.14,0.50,6,28.6,20.5,3,Match Report
1284,it Juventus,2019-02-20,0.7,@,es Atlético Madrid,Champions League,Rd of 16 Leg 1,W 3-2,L 0-2,0,2,-2,63,0,0,0,0,0.7,0.7,-0.7,-0.7,0.6,0.8,-0.7,-0.7,-0.6,0.05,14,0.00,0.00,2,14.3,21.7,1,Match Report
1285,de Bayern Munich,2019-02-19,0.4,@,eng Liverpool,Champions League,Rd of 16 Leg 1,L 1-3,D 0-0,0,0,0,51,0,0,0,0,0.4,0.4,-1.7,-1.7,0.4,0.4,-0.4,-0.4,-0.4,0.05,9,0.00,,0,0.0,17.7,0,Match Report
1286,fr Lyon,2019-02-19,0.3,,es Barcelona,Champions League,Rd of 16 Leg 1,L 1-5,D 0-0,0,0,0,38,0,0,0,0,0.3,0.3,-1.7,-1.7,0.3,0.8,-0.3,-0.3,-0.3,0.07,5,0.00,0.00,2,40.0,19.3,0,Match Report
1287,es Barcelona,2019-02-19,2.1,@,fr Lyon,Champions League,Rd of 16 Leg 1,W 5-1,D 0-0,0,0,0,63,0,0,0,0,2.1,2.1,+1.7,+1.7,1.6,1.4,-2.1,-2.1,-1.6,0.08,25,0.00,0.00,5,20.0,18.9,2,Match Report
1288,eng Liverpool,2019-02-19,2.1,,de Bayern Munich,Champions League,Rd of 16 Leg 1,W 3-1,D 0-0,0,0,0,49,0,0,0,0,2.1,2.1,+1.7,+1.7,1.1,2.0,-2.1,-2.1,-1.1,0.14,15,0.00,0.00,2,13.3,13.9,0,Match Report
1289,es Real Madrid,2019-02-13,1.5,@,nl Ajax,Champions League,Rd of 16 Leg 1,L 3-5,W 2-1,2,1,+1,50,2,0,0,0,1.5,1.5,-0.7,-0.7,1.4,0.9,+0.5,+0.5,+0.6,0.12,13,0.15,0.25,8,61.5,19.6,0,Match Report
1290,de Dortmund,2019-02-13,0.3,@,eng Tottenham,Champions League,Rd of 16 Leg 1,L 0-4,L 0-3,0,3,-3,47,0,0,0,0,0.3,0.3,-1.4,-1.4,0.2,0.7,-0.3,-0.3,-0.2,0.05,6,0.00,0.00,5,83.3,19.9,0,Match Report
1291,nl Ajax,2019-02-13,2.2,,es Real Madrid,Champions League,Rd of 16 Leg 1,W 5-3,L 1-2,1,2,-1,50,1,0,0,0,2.2,2.2,+0.7,+0.7,2.0,1.9,-1.2,-1.2,-1.0,0.12,19,0.05,0.14,7,36.8,17.5,3,Match Report
1292,eng Tottenham,2019-02-13,1.8,,de Dortmund,Champions League,Rd of 16 Leg 1,W 4-0,W 3-0,3,0,+3,53,3,0,0,0,1.8,1.8,+1.4,+1.4,1.6,0.9,+1.2,+1.2,+1.4,0.12,15,0.20,0.60,5,33.3,19.0,1,Match Report
1293,it Roma,2019-02-12,1.5,,pt Porto,Champions League,Rd of 16 Leg 1,L 3-4 (aet),W 2-1,2,1,+1,44,2,0,0,0,1.5,1.5,+0.9,+0.9,1.1,0.7,+0.5,+0.5,+0.9,0.11,14,0.14,0.22,9,64.3,16.3,0,Match Report
1294,fr Paris S-G,2019-02-12,2.5,@,eng Manchester Utd,Champions League,Rd of 16 Leg 1,L 3-3 (away),W 2-0,2,0,+2,55,2,0,0,0,2.5,2.5,+2.1,+2.1,2.4,1.5,-0.5,-0.5,-0.4,0.21,12,0.17,0.40,5,41.7,17.0,2,Match Report
1295,eng Manchester Utd,2019-02-12,0.4,,fr Paris S-G,Champions League,Rd of 16 Leg 1,W 3-3 (away),L 0-2,0,2,-2,45,0,0,0,0,0.4,0.4,-2.1,-2.1,0.3,0.5,-0.4,-0.4,-0.3,0.04,10,0.00,0.00,1,10.0,22.6,0,Match Report
1296,pt Porto,2019-02-12,0.6,@,it Roma,Champions League,Rd of 16 Leg 1,W 4-3 (aet),L 1-2,1,2,-1,56,1,0,0,0,0.6,0.6,-0.9,-0.9,0.6,0.6,+0.4,+0.4,+0.4,0.09,7,0.14,0.50,2,28.6,17.6,0,Match Report
1297,cz Viktoria Plzeň,2018-12-12,2.0,,it Roma,Champions League,Group,,W 2-1,2,1,+1,38,2,0,0,0,2.0,2.0,+0.8,+0.8,1.7,1.4,0.0,0.0,-0.7,0.16,13,0.15,0.50,4,30.8,14.6,0,Match Report
1298,de Hoffenheim,2018-12-12,1.4,@,eng Manchester City,Champions League,Group,,L 1-2,1,2,-1,39,0,1,1,0,1.4,0.6,-2.0,-2.7,0.5,0.5,-0.4,-0.6,-0.5,0.05,13,0.00,0.00,4,30.8,22.5,1,Match Report
1299,de Bayern Munich,2018-12-12,3.1,@,nl Ajax,Champions League,Group,,D 3-3,3,3,0,46,2,1,1,0,3.1,2.3,+0.1,+0.1,2.0,1.5,-0.1,-0.3,0.0,0.21,13,0.15,0.25,8,61.5,16.9,0,Match Report
1300,eng Manchester Utd,2018-12-12,1.8,@,es Valencia,Champions League,Group,,L 1-2,1,2,-1,54,1,0,0,0,1.8,1.8,+0.3,+0.3,1.7,1.4,-0.8,-0.8,-0.7,0.15,12,0.08,0.20,5,41.7,17.5,0,Match Report
1301,nl Ajax,2018-12-12,3.0,,de Bayern Munich,Champions League,Group,,D 3-3,3,3,0,54,2,1,1,0,3.0,2.2,-0.1,-0.1,2.1,1.5,0.0,-0.2,-0.1,0.14,16,0.13,0.29,7,43.8,18.5,0,Match Report
1302,ch Young Boys,2018-12-12,1.2,,it Juventus,Champions League,Group,,W 2-1,2,1,+1,40,1,1,1,0,1.2,0.4,-1.0,-1.8,0.3,0.3,+0.8,+0.6,+0.7,0.05,8,0.13,0.50,2,25.0,21.2,0,Match Report
1303,es Real Madrid,2018-12-12,1.3,,ru CSKA Moscow,Champions League,Group,,L 0-3,0,3,-3,68,0,0,0,0,1.3,1.3,+0.4,+0.4,1.0,1.0,-1.3,-1.3,-1.0,0.07,19,0.00,0.00,6,31.6,18.8,1,Match Report
1304,pt Benfica,2018-12-12,1.8,,gr AEK Athens,Champions League,Group,,W 1-0,1,0,+1,59,1,0,0,0,1.8,1.8,+1.4,+1.4,1.4,1.4,-0.8,-0.8,-1.4,0.08,23,0.04,0.13,8,34.8,19.8,3,Match Report
1305,eng Manchester City,2018-12-12,3.4,,de Hoffenheim,Champions League,Group,,W 2-1,2,1,+1,61,2,0,0,0,3.4,3.4,+2.0,+2.7,3.4,2.3,-1.4,-1.4,-2.4,0.16,22,0.09,0.25,8,36.4,15.6,3,Match Report
1306,it Roma,2018-12-12,1.1,@,cz Viktoria Plzeň,Champions League,Group,,L 1-2,1,2,-1,62,1,0,0,0,1.1,1.1,-0.8,-0.8,1.1,0.8,-0.1,-0.1,-0.1,0.10,12,0.08,0.25,4,33.3,20.5,1,Match Report
1307,gr AEK Athens,2018-12-12,0.4,@,pt Benfica,Champions League,Group,,L 0-1,0,1,-1,41,0,0,0,0,0.4,0.4,-1.4,-1.4,0.4,0.6,-0.4,-0.4,-0.4,0.07,6,0.00,,0,0.0,14.4,0,Match Report
1308,fr Lyon,2018-12-12,1.3,@,ua Shakhtar,Champions League,Group,,D 1-1,1,1,0,47,1,0,0,0,1.3,1.3,+0.2,+0.2,1.2,0.8,-0.3,-0.3,-0.2,0.08,17,0.06,0.17,6,35.3,20.9,0,Match Report
1309,es Valencia,2018-12-12,1.4,,eng Manchester Utd,Champions League,Group,,W 2-1,2,1,+1,46,1,0,0,0,1.4,1.4,-0.3,-0.3,1.3,1.0,-0.4,-0.4,-1.3,0.13,11,0.09,0.33,3,27.3,16.1,0,Match Report
1310,it Juventus,2018-12-12,2.1,@,ch Young Boys,Champions League,Group,,L 1-2,1,2,-1,60,1,0,0,0,2.1,2.1,+1.0,+1.8,1.9,2.2,-1.1,-1.1,-0.9,0.09,25,0.04,0.17,6,24.0,17.0,1,Match Report
1311,ua Shakhtar,2018-12-12,1.1,,fr Lyon,Champions League,Group,,D 1-1,1,1,0,53,1,0,0,0,1.1,1.1,-0.2,-0.2,1.0,0.5,-0.1,-0.1,0.0,0.19,6,0.17,0.50,2,33.3,12.2,0,Match Report
1312,ru CSKA Moscow,2018-12-12,0.9,@,es Real Madrid,Champions League,Group,,W 3-0,3,0,+3,32,3,0,0,0,0.9,0.9,-0.4,-0.4,0.5,0.5,+2.1,+2.1,+2.5,0.07,13,0.23,0.50,6,46.2,18.8,0,Match Report
1313,rs Red Star,2018-12-11,0.4,,fr Paris S-G,Champions League,Group,,L 1-4,1,4,-3,31,1,0,0,0,0.4,0.4,-2.5,-2.5,0.2,0.3,+0.6,+0.6,-0.2,0.06,7,0.14,0.33,3,42.9,13.7,0,Match Report
1314,es Barcelona,2018-12-11,1.3,,eng Tottenham,Champions League,Group,,D 1-1,1,1,0,49,1,0,0,0,1.3,1.3,-1.1,-1.1,0.7,0.7,-0.3,-0.3,-0.7,0.09,14,0.07,0.33,3,21.4,19.2,1,Match Report
1315,eng Tottenham,2018-12-11,2.4,@,es Barcelona,Champions League,Group,,D 1-1,1,1,0,51,1,0,0,0,2.4,2.4,+1.1,+1.1,2.3,1.4,-1.4,-1.4,-1.3,0.15,17,0.06,0.14,7,41.2,16.7,1,Match Report
1316,ru Loko Moscow,2018-12-11,0.7,@,de Schalke 04,Champions League,Group,,L 0-1,0,1,-1,43,0,0,0,0,0.7,0.7,-1.3,-1.3,0.7,0.3,-0.7,-0.7,-0.7,0.09,8,0.00,0.00,1,12.5,19.9,0,Match Report
1317,pt Porto,2018-12-11,1.7,@,tr Galatasaray,Champions League,Group,,W 3-2,3,2,+1,37,2,1,1,0,1.7,1.0,-2.2,-1.4,1.0,0.9,+1.3,+1.0,+1.0,0.32,3,0.67,1.00,2,66.7,13.1,0,Match Report
1318,eng Liverpool,2018-12-11,3.0,,it Napoli,Champions League,Group,,W 1-0,1,0,+1,48,1,0,0,0,3.0,3.0,+1.8,+1.8,3.1,2.5,-2.0,-2.0,-2.1,0.14,23,0.04,0.20,5,21.7,17.6,0,Match Report
1319,de Dortmund,2018-12-11,2.6,@,fr Monaco,Champions League,Group,,W 2-0,2,0,+2,62,2,0,0,0,2.6,2.6,+2.0,+2.0,2.6,2.4,-0.6,-0.6,-0.6,0.19,14,0.14,0.50,4,28.6,16.6,1,Match Report
1320,de Schalke 04,2018-12-11,2.1,,ru Loko Moscow,Champions League,Group,,W 1-0,1,0,+1,57,1,0,0,0,2.1,2.1,+1.3,+1.3,1.3,0.8,-1.1,-1.1,-0.3,0.13,17,0.06,0.17,6,35.3,16.5,0,Match Report
1321,it Napoli,2018-12-11,1.2,@,eng Liverpool,Champions League,Group,,L 0-1,0,1,-1,52,0,0,0,0,1.2,1.2,-1.8,-1.8,0.7,0.8,-1.2,-1.2,-0.7,0.15,8,0.00,0.00,3,37.5,18.5,0,Match Report
1322,it Inter,2018-12-11,1.9,,nl PSV Eindhoven,Champions League,Group,,D 1-1,1,1,0,65,1,0,0,0,1.9,1.9,+0.7,+0.7,1.8,1.7,-0.9,-0.9,-0.8,0.08,23,0.04,0.11,9,39.1,15.6,0,Match Report
1323,es Atlético Madrid,2018-12-11,0.4,@,be Club Brugge,Champions League,Group,,D 0-0,0,0,0,57,0,0,0,0,0.4,0.4,-0.2,-0.2,0.4,1.7,-0.4,-0.4,-0.4,0.05,9,0.00,0.00,3,33.3,22.9,1,Match Report
1324,fr Paris S-G,2018-12-11,2.9,@,rs Red Star,Champions League,Group,,W 4-1,4,1,+3,69,4,0,0,0,2.9,2.9,+2.5,+2.5,2.8,1.3,+1.1,+1.1,+1.2,0.19,15,0.27,0.44,9,60.0,17.0,1,Match Report
1325,nl PSV Eindhoven,2018-12-11,1.2,@,it Inter,Champions League,Group,,D 1-1,1,1,0,35,1,0,0,0,1.2,1.2,-0.7,-0.7,0.8,1.5,-0.2,-0.2,+0.2,0.20,6,0.17,0.20,5,83.3,16.4,0,Match Report
1326,tr Galatasaray,2018-12-11,3.9,,pt Porto,Champions League,Group,,L 2-3,2,3,-1,63,1,1,2,1,3.9,2.4,+2.2,+1.4,2.3,2.3,-1.9,-1.4,-1.3,0.18,13,0.08,0.25,4,30.8,18.5,0,Match Report
1327,be Club Brugge,2018-12-11,0.6,,es Atlético Madrid,Champions League,Group,,D 0-0,0,0,0,43,0,0,0,0,0.6,0.6,+0.2,+0.2,0.5,0.6,-0.6,-0.6,-0.5,0.15,4,0.00,0.00,2,50.0,20.7,1,Match Report
1328,fr Monaco,2018-12-11,0.6,,de Dortmund,Champions League,Group,,L 0-2,0,2,-2,38,0,0,0,0,0.6,0.6,-2.0,-2.0,0.5,0.3,-0.6,-0.6,-0.5,0.10,6,0.00,,0,0.0,20.7,1,Match Report
1329,rs Red Star,2018-11-28,0.8,@,it Napoli,Champions League,Group,,L 1-3,1,3,-2,35,1,0,0,0,0.8,0.8,-1.6,-1.6,0.7,0.7,+0.2,+0.2,+0.3,0.08,10,0.10,0.33,3,30.0,23.6,0,Match Report
1330,es Barcelona,2018-11-28,2.4,@,nl PSV Eindhoven,Champions League,Group,,W 2-1,2,1,+1,65,2,0,0,0,2.4,2.4,-0.6,-0.6,2.1,1.4,-0.4,-0.4,-0.1,0.11,22,0.09,0.33,6,27.3,16.7,1,Match Report
1331,eng Tottenham,2018-11-28,1.3,,it Inter,Champions League,Group,,W 1-0,1,0,+1,52,1,0,0,0,1.3,1.3,+0.3,+0.3,1.2,1.0,-0.3,-0.3,-0.2,0.09,14,0.07,0.20,5,35.7,20.4,0,Match Report
1332,ru Loko Moscow,2018-11-28,1.4,,tr Galatasaray,Champions League,Group,,W 2-0,2,0,+2,43,1,0,0,0,1.4,1.4,+0.1,+0.1,0.7,0.8,-0.4,-0.4,-0.7,0.09,16,0.06,0.33,3,18.8,17.7,0,Match Report
1333,pt Porto,2018-11-28,1.6,,de Schalke 04,Champions League,Group,,W 3-1,3,1,+2,59,3,0,0,0,1.6,1.6,+0.7,+1.5,1.5,1.2,+1.4,+1.4,+1.5,0.11,14,0.21,0.50,6,42.9,17.8,0,Match Report
1334,eng Liverpool,2018-11-28,1.3,@,fr Paris S-G,Champions League,Group,,L 1-2,1,2,-1,56,0,1,1,0,1.3,0.5,-0.3,-1.1,0.3,0.7,-0.3,-0.5,-0.3,0.07,7,0.00,,0,0.0,16.6,0,Match Report
1335,de Dortmund,2018-11-28,1.2,,be Club Brugge,Champions League,Group,,D 0-0,0,0,0,73,0,0,0,0,1.2,1.2,+0.9,+0.9,1.1,1.8,-1.2,-1.2,-1.1,0.10,12,0.00,0.00,2,16.7,21.4,0,Match Report
1336,de Schalke 04,2018-11-28,0.9,@,pt Porto,Champions League,Group,,L 1-3,1,3,-2,41,0,1,1,0,0.9,0.1,-0.7,-1.5,0.1,0.2,+0.1,-0.1,-0.1,0.04,3,0.00,0.00,1,33.3,24.5,0,Match Report
1337,it Napoli,2018-11-28,2.4,,rs Red Star,Champions League,Group,,W 3-1,3,1,+2,65,3,0,0,0,2.4,2.4,+1.6,+1.6,2.0,2.3,+0.6,+0.6,+1.0,0.15,16,0.19,0.38,8,50.0,15.3,0,Match Report
1338,it Inter,2018-11-28,1.0,@,eng Tottenham,Champions League,Group,,L 0-1,0,1,-1,48,0,0,0,0,1.0,1.0,-0.3,-0.3,0.8,1.0,-1.0,-1.0,-0.8,0.10,10,0.00,0.00,2,20.0,19.8,2,Match Report
1339,es Atlético Madrid,2018-11-28,0.9,,fr Monaco,Champions League,Group,,W 2-0,2,0,+2,56,2,0,0,0,0.9,0.9,-0.4,+0.3,0.7,0.9,+1.1,+1.1,+0.3,0.08,11,0.18,0.50,4,36.4,21.8,2,Match Report
1340,fr Paris S-G,2018-11-28,1.5,,eng Liverpool,Champions League,Group,,W 2-1,2,1,+1,44,2,0,0,0,1.5,1.5,+0.3,+1.1,1.2,1.0,+0.5,+0.5,-0.2,0.17,12,0.17,0.25,8,66.7,16.4,2,Match Report
1341,nl PSV Eindhoven,2018-11-28,3.0,,es Barcelona,Champions League,Group,,L 1-2,1,2,-1,35,1,0,0,0,3.0,3.0,+0.6,+0.6,2.6,1.8,-2.0,-2.0,-1.6,0.14,23,0.04,0.11,9,39.1,16.6,1,Match Report
1342,tr Galatasaray,2018-11-28,1.3,@,ru Loko Moscow,Champions League,Group,,L 0-2,0,2,-2,57,0,0,0,0,1.3,1.3,-0.1,-0.1,1.2,1.1,-1.3,-1.3,-1.2,0.11,12,0.00,0.00,2,16.7,17.5,1,Match Report
1343,be Club Brugge,2018-11-28,0.3,@,de Dortmund,Champions League,Group,,D 0-0,0,0,0,27,0,0,0,0,0.3,0.3,-0.9,-0.9,0.3,0.2,-0.3,-0.3,-0.3,0.06,5,0.00,,0,0.0,18.9,0,Match Report
1344,fr Monaco,2018-11-28,1.3,@,es Atlético Madrid,Champions League,Group,,L 0-2,0,2,-2,44,0,0,1,1,1.3,0.6,+0.4,-0.3,0.3,0.5,-1.3,-0.6,-0.3,0.05,11,0.00,0.00,3,27.3,23.4,1,Match Report
1345,cz Viktoria Plzeň,2018-11-27,2.0,@,ru CSKA Moscow,Champions League,Group,,W 2-1,2,1,+1,47,2,0,1,1,2.0,1.1,-0.2,-0.4,1.6,1.1,0.0,+0.9,+0.4,0.07,15,0.13,0.33,6,40.0,17.3,1,Match Report
1346,de Hoffenheim,2018-11-27,1.3,,ua Shakhtar,Champions League,Group,,L 2-3,2,3,-1,59,2,0,0,0,1.3,1.3,-0.8,-0.8,1.1,0.9,+0.7,+0.7,-0.1,0.10,13,0.15,0.50,4,30.8,20.9,0,Match Report
1347,de Bayern Munich,2018-11-27,1.9,,pt Benfica,Champions League,Group,,W 5-1,5,1,+4,58,5,0,0,0,1.9,1.9,+1.5,+1.5,2.0,1.1,+3.1,+3.1,+1.0,0.15,14,0.36,0.50,10,71.4,16.8,0,Match Report
1348,eng Manchester Utd,2018-11-27,1.3,,ch Young Boys,Champions League,Group,,W 1-0,1,0,+1,66,1,0,0,0,1.3,1.3,+0.7,+0.7,1.3,1.0,-0.3,-0.3,-0.3,0.06,21,0.05,0.25,4,19.0,19.3,0,Match Report
