Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
59,es Barcelona,2023-12-13,1.1,@,be Antwerp,Champions League,Group,,L 2-3,2,3,-1,69,2,0,0,0,1.1,1.1,-0.5,-0.5,1.1,1.4,+0.9,+0.9,+0.9,0.10,11,0.18,0.67,3,27.3,18.9,0,Match Report
60,nl Feyenoord,2023-12-13,2.1,@,sct Celtic,Champions League,Group,,L 1-2,1,2,-1,53,1,0,0,0,2.1,2.1,-0.1,+0.6,1.2,1.7,-1.1,-1.1,-0.2,0.11,19,0.05,0.14,7,36.8,18.4,1,Match Report
61,de Dortmund,2023-12-13,1.4,,fr Paris S-G,Champions League,Group,,D 1-1,1,1,0,41,1,0,0,0,1.4,1.4,-1.4,-1.4,0.7,0.8,-0.4,-0.4,+0.3,0.14,10,0.10,0.17,6,60.0,19.3,0,Match Report
62,de RB Leipzig,2023-12-13,0.7,,ch Young Boys,Champions League,Group,,W 2-1,2,1,+1,53,2,0,0,0,0.7,0.7,-0.8,-0.8,0.6,0.5,+1.3,+1.3,+1.4,0.07,10,0.20,1.00,2,20.0,20.2,2,Match Report
63,rs Red Star,2023-12-13,1.1,,eng Manchester City,Champions League,Group,,L 2-3,2,3,-1,32,2,0,0,0,1.1,1.1,-0.3,+0.5,1.1,0.9,+0.9,+0.9,+0.9,0.10,11,0.18,0.33,6,54.5,17.4,0,Match Report
64,eng Manchester City,2023-12-13,1.4,@,rs Red Star,Champions League,Group,,W 3-2,3,2,+1,68,2,1,1,0,1.4,0.6,+0.3,-0.5,0.5,0.8,+1.6,+1.4,+1.5,0.06,9,0.22,1.00,2,22.2,19.2,0,Match Report
65,it Milan,2023-12-13,1.9,@,eng Newcastle Utd,Champions League,Group,,W 2-1,2,1,+1,42,2,0,0,0,1.9,1.9,+0.1,+0.1,2.0,0.9,+0.1,+0.1,0.0,0.16,12,0.17,1.00,2,16.7,18.2,0,Match Report
66,ch Young Boys,2023-12-13,1.5,@,de RB Leipzig,Champions League,Group,,L 1-2,1,2,-1,47,1,0,0,0,1.5,1.5,+0.8,+0.8,1.0,1.4,-0.5,-0.5,0.0,0.10,16,0.06,0.33,3,18.8,19.4,1,Match Report
67,pt Porto,2023-12-13,2.7,,ua Shakhtar,Champions League,Group,,W 5-3,5,3,+2,49,5,0,0,0,2.7,2.7,+1.2,+1.2,2.0,2.1,+2.3,+2.3,+2.0,0.14,20,0.25,0.56,9,45.0,16.2,0,Match Report
68,es Atlético Madrid,2023-12-13,1.3,,it Lazio,Champions League,Group,,W 2-0,2,0,+2,57,2,0,0,0,1.3,1.3,+0.4,+0.4,0.8,0.8,+0.7,+0.7,+0.2,0.08,16,0.13,0.50,4,25.0,16.5,1,Match Report
69,it Lazio,2023-12-13,0.9,@,es Atlético Madrid,Champions League,Group,,L 0-2,0,2,-2,43,0,0,0,0,0.9,0.9,-0.4,-0.4,0.6,0.6,-0.9,-0.9,-0.6,0.09,10,0.00,0.00,4,40.0,17.5,1,Match Report
70,be Antwerp,2023-12-13,1.7,,es Barcelona,Champions League,Group,,W 3-2,3,2,+1,31,3,0,0,0,1.7,1.7,+0.5,+0.5,1.3,1.4,+1.3,+1.3,+0.7,0.15,11,0.27,0.60,5,45.5,15.6,0,Match Report
71,sct Celtic,2023-12-13,2.2,,nl Feyenoord,Champions League,Group,,W 2-1,2,1,+1,47,1,1,1,0,2.2,1.5,+0.1,-0.6,1.4,1.0,-0.2,-0.5,-0.4,0.12,12,0.08,0.17,6,50.0,18.7,0,Match Report
72,ua Shakhtar,2023-12-13,1.5,@,pt Porto,Champions League,Group,,L 3-5,3,5,-2,51,2,0,0,0,1.5,1.5,-1.2,-1.2,1.3,0.4,+0.5,+0.5,+0.7,0.18,9,0.22,0.33,6,66.7,13.3,0,Match Report
73,fr Paris S-G,2023-12-13,2.8,@,de Dortmund,Champions League,Group,,D 1-1,1,1,0,59,1,0,0,0,2.8,2.8,+1.4,+1.4,2.6,1.7,-1.8,-1.8,-2.6,0.16,18,0.06,0.20,5,27.8,17.3,1,Match Report
74,eng Newcastle Utd,2023-12-13,1.8,,it Milan,Champions League,Group,,L 1-2,1,2,-1,58,1,0,0,0,1.8,1.8,-0.1,-0.1,1.6,1.3,-0.8,-0.8,-0.6,0.11,17,0.06,0.17,6,35.3,18.0,1,Match Report
75,de Bayern Munich,2023-12-12,1.2,@,eng Manchester Utd,Champions League,Group,,W 1-0,1,0,+1,59,1,0,0,0,1.2,1.2,+0.9,+0.9,1.0,1.5,-0.2,-0.2,0.0,0.12,10,0.10,0.33,3,30.0,16.4,0,Match Report
76,es Sevilla,2023-12-12,1.3,@,fr Lens,Champions League,Group,,L 1-2,1,2,-1,65,0,1,1,0,1.3,0.5,-0.1,-0.1,0.3,0.8,-0.3,-0.5,-0.3,0.05,9,0.00,0.00,3,33.3,18.4,0,Match Report
77,at RB Salzburg,2023-12-12,1.6,,pt Benfica,Champions League,Group,,L 1-3,1,3,-2,43,1,0,0,0,1.6,1.6,-1.5,-1.5,1.4,1.1,-0.6,-0.6,-0.4,0.09,19,0.05,0.17,6,31.6,18.3,0,Match Report
78,nl PSV Eindhoven,2023-12-12,1.3,,eng Arsenal,Champions League,Group,,D 1-1,1,1,0,42,1,0,0,0,1.3,1.3,+0.4,+0.4,0.8,1.4,-0.3,-0.3,+0.2,0.08,17,0.06,0.20,5,29.4,17.4,0,Match Report
79,es Real Sociedad,2023-12-12,0.7,@,it Inter,Champions League,Group,,D 0-0,0,0,0,55,0,0,0,0,0.7,0.7,0.0,0.0,0.7,0.8,-0.7,-0.7,-0.7,0.15,5,0.00,0.00,2,40.0,17.6,0,Match Report
80,pt Benfica,2023-12-12,3.1,@,at RB Salzburg,Champions League,Group,,W 3-1,3,1,+2,57,3,0,0,0,3.1,3.1,+1.5,+1.5,2.5,2.0,-0.1,-0.1,-0.5,0.17,18,0.17,0.50,6,33.3,17.7,0,Match Report
81,it Inter,2023-12-12,0.7,,es Real Sociedad,Champions League,Group,,D 0-0,0,0,0,45,0,0,0,0,0.7,0.7,0.0,0.0,0.6,0.4,-0.7,-0.7,-0.6,0.07,10,0.00,0.00,2,20.0,15.7,0,Match Report
